E0016712_LF_MED_ITS;1	0.29831	0.16994	0.12837	0.12010	0.56969	0.43031	4.04771	4.57401	0.08903	0.07547	0.02879	0.27301	57.51920	115.53541	92.32355	
E0016712_LT_MED_ITS;1	0.27815	0.10669	0.17146	0.07979	0.38356	0.61644	3.78229	5.21419	0.08078	0.07139	0.02441	0.27230	92.90843	143.02544	94.01990	
E0016712_RF_MED_ITS;1	0.26745	0.12324	0.14421	0.09350	0.46081	0.53919	3.81623	4.79825	0.08609	0.07469	0.02576	0.27019	68.49499	122.38529	87.46104	
E0016712_RT_MED_ITS;1	0.32959	0.15898	0.17061	0.09425	0.48236	0.51764	4.16574	5.17211	0.08461	0.07213	0.02600	0.27189	86.87949	163.95889	115.17864	
E0016713_LF_MED_ITS;1	0.23359	0.11109	0.12251	0.08800	0.47556	0.52444	3.82527	4.76283	0.08120	0.07047	0.02444	0.26615	74.46559	127.85400	92.15473	
E0016713_LT_MED_ITS;1	0.19742	0.06825	0.12917	0.06309	0.34571	0.65429	3.48683	5.05566	0.07353	0.06646	0.02190	0.26364	99.87973	131.01431	82.19529	
E0016713_RF_MED_ITS;1	0.25985	0.14242	0.11744	0.10442	0.54807	0.45193	3.93627	4.46508	0.08690	0.07442	0.02687	0.27360	48.54076	114.47925	87.29124	
E0016713_RT_MED_ITS;1	0.20633	0.07316	0.13317	0.05601	0.35457	0.64543	3.31990	4.78654	0.07825	0.07164	0.02555	0.27101	68.51311	99.45803	62.21556	
E0016710_LT_MED_ITS_230;1	0.38557	0.26305	0.12252	0.16401	0.68224	0.31776	3.63384	3.51517	0.11059	0.09382	0.04958	0.36572	21.25821	68.58617	59.92542	
E0016769_LT_MED_ITS_230;1	0.42290	0.32004	0.10286	0.19249	0.75677	0.24323	3.65267	3.21976	0.12029	0.09839	0.05461	0.36230	13.82393	57.65803	52.88965	
E0016710_LF_MED_ITS_230;1	0.39482	0.28011	0.11472	0.18827	0.70944	0.29056	3.55218	3.28990	0.11740	0.10190	0.05324	0.35855	16.28924	57.39622	53.49511	
E0016769_LF_MED_ITS_230;1	0.39801	0.29842	0.09959	0.19702	0.74977	0.25023	3.58223	3.17622	0.11742	0.09990	0.05529	0.36031	13.34431	54.78845	52.79614	
E0016710_RT_MED_ITS_230;1	0.45047	0.31290	0.13757	0.19884	0.69461	0.30539	3.74748	3.59690	0.11431	0.09653	0.05205	0.36267	23.39748	74.01640	66.62772	
E0016769_RT_MED_ITS_230;1	0.42088	0.30685	0.11403	0.17800	0.72906	0.27094	3.70248	3.42901	0.11606	0.09515	0.05209	0.35484	14.64955	68.45098	62.29299	
E0016711_LT_MED_ITS_230;1	0.31591	0.18050	0.13541	0.13093	0.57137	0.42863	3.43797	3.62143	0.10137	0.09612	0.04382	0.36008	24.70111	69.35906	55.43568	
E0016836_LT_MED_ITS_230;1	0.41504	0.31236	0.10268	0.19815	0.75261	0.24739	3.56838	3.33160	0.12061	0.09353	0.05701	0.35722	17.32917	58.22808	53.48319	
E0016711_LF_MED_ITS_230;1	0.36461	0.23496	0.12965	0.17647	0.64441	0.35559	3.51075	3.45140	0.11115	0.10169	0.04886	0.35786	21.08400	63.86490	55.23517	
E0016836_LF_MED_ITS_230;1	0.39138	0.28809	0.10329	0.20476	0.73608	0.26392	3.57152	3.35779	0.11832	0.09425	0.05345	0.35102	16.72232	59.09207	54.23721	
E0016711_RT_MED_ITS_230;1	0.31778	0.16044	0.15733	0.11172	0.50489	0.49511	3.44067	3.87032	0.09497	0.09275	0.04147	0.36514	31.27906	76.65089	59.75103	
E0016836_RT_MED_ITS_230;1	0.46240	0.33574	0.12666	0.19530	0.72608	0.27392	3.77644	3.58028	0.11853	0.09389	0.05262	0.35639	22.91810	69.90021	61.82158	
E0016711_RF_MED_ITS_230;1	0.36912	0.24054	0.12858	0.18823	0.65166	0.34834	3.57799	3.46052	0.11038	0.10021	0.04758	0.36097	20.42378	67.95352	58.95413	
E0016712_RF_MED_ITS_230;1	0.35877	0.20809	0.15067	0.15003	0.58002	0.41998	3.45929	3.69541	0.11001	0.09759	0.04570	0.36151	28.71613	71.62381	57.89335	
E0016712_RT_MED_ITS_230;1	0.42565	0.23497	0.19068	0.15925	0.55202	0.44798	3.74195	4.04831	0.10553	0.09668	0.04250	0.35309	35.96370	96.48192	75.52376	
